smiles,logP,mol,num_of_C_atoms,num_of_O_atoms,num_of_N_atoms,num_of_S_atoms,num_of_Cl_atoms,num_of_P_atoms,num_of_F_atoms,num_of_I_atoms,num_of_Br_atoms,num_of_atoms,tpsa,mol_w,num_valence_electrons,num_heteroatoms,num_H_donors,num_H_acceptors
CC(C)(C)SI,2.7,<rdkit.Chem.rdchem.Mol object at 0x1409c15a0>,4,0,0,1,0,0,0,1,0,15,0.0,215.946969288,38,2,0,1
COCCSPO,-0.3,<rdkit.Chem.rdchem.Mol object at 0x1409c1600>,3,2,0,1,0,1,0,0,0,16,29.46,140.00608715799999,44,4,1,3
C(NCF)F,0.7,<rdkit.Chem.rdchem.Mol object at 0x1409c1660>,2,0,1,0,0,0,2,0,0,10,12.03,81.0390056,32,3,1,1
[2H]C([2H])([2H])CCCCBr,3.4,<rdkit.Chem.rdchem.Mol object at 0x1409c16c0>,5,0,0,0,0,0,0,0,1,17,0.0,153.02324269000002,38,1,0,0
CC(C)([CH])C[CH],3.0,<rdkit.Chem.rdchem.Mol object at 0x1409c1720>,6,0,0,0,0,0,0,0,0,16,0.0,82.07825032,34,0,0,0
C(F)(F)(F)SS,2.2,<rdkit.Chem.rdchem.Mol object at 0x1409c1780>,1,0,0,2,0,0,3,0,0,7,0.0,133.947176692,38,5,1,2
CCO[C@H](C)CO,0.2,<rdkit.Chem.rdchem.Mol object at 0x1409c17e0>,5,2,0,0,0,0,0,0,0,19,29.46,104.083729624,44,2,1,2
CCC=C.CC=CC,4.2,<rdkit.Chem.rdchem.Mol object at 0x1409c1840>,8,0,0,0,0,0,0,0,0,24,0.0,112.12520051199999,48,0,0,0
CCC[C@@H](C)[NH3+],1.0,<rdkit.Chem.rdchem.Mol object at 0x1409c18a0>,5,0,1,0,0,0,0,0,0,20,27.64,88.11207586808999,38,1,1,0
CN(C)COO,-0.3,<rdkit.Chem.rdchem.Mol object at 0x1409c1900>,3,2,1,0,0,0,0,0,0,15,32.7,91.063328528,38,3,1,3
C(=O)(N)I,0.0,<rdkit.Chem.rdchem.Mol object at 0x1409c1960>,1,1,1,0,0,0,0,1,0,6,43.09,170.918111684,24,3,1,1
CC(C)NCCBr,1.4,<rdkit.Chem.rdchem.Mol object at 0x1409c19c0>,5,0,1,0,0,0,0,0,1,19,12.03,165.015311484,44,2,1,1
CCCOCCl,1.7,<rdkit.Chem.rdchem.Mol object at 0x1409c1a20>,4,1,0,0,1,0,0,0,0,15,9.23,108.034192588,38,2,0,1
C([C@H](F)Cl)Cl,1.9,<rdkit.Chem.rdchem.Mol object at 0x1409c1a80>,2,0,0,0,2,0,1,0,0,8,0.0,115.959583676,32,3,0,0
CCSNSC,1.0,<rdkit.Chem.rdchem.Mol object at 0x1409c1ae0>,3,0,1,2,0,0,0,0,0,15,12.03,123.017641288,38,3,1,3
C[C]/C=C\[S-],1.7,<rdkit.Chem.rdchem.Mol object at 0x1409c1b40>,4,0,0,1,0,0,0,0,0,10,0.0,85.01174473991,28,1,0,1
CC(OC)Cl,1.2,<rdkit.Chem.rdchem.Mol object at 0x1409c1ba0>,3,1,0,0,1,0,0,0,0,12,9.23,94.018542524,32,2,0,1
CCNCI=N,1.5,<rdkit.Chem.rdchem.Mol object at 0x1409c1c00>,3,0,2,0,0,0,0,1,0,15,35.88,199.981046288,38,3,2,2
CCS[S-],1.3,<rdkit.Chem.rdchem.Mol object at 0x1409c1c60>,2,0,0,2,0,0,0,0,0,9,0.0,92.98381573991,26,2,0,2
C(CPCP)PCP,-0.8,<rdkit.Chem.rdchem.Mol object at 0x1409c1cc0>,4,0,0,0,0,4,0,0,0,22,0.0,186.004596968,50,4,0,0
[2H]N([2H])CCCCN,-0.9,<rdkit.Chem.rdchem.Mol object at 0x1409c1d20>,4,0,2,0,0,0,0,0,0,18,52.04,90.11260187599999,38,2,2,2
CCC[C@H](C)S,2.2,<rdkit.Chem.rdchem.Mol object at 0x1409c1d80>,5,0,0,1,0,0,0,0,0,18,0.0,104.065971384,38,1,1,1
[3H]C1CCCNC1,0.8,<rdkit.Chem.rdchem.Mol object at 0x1409c1de0>,5,0,1,0,0,0,0,0,0,17,12.03,87.09737359799999,36,1,1,1
C[C@H](COP)O,-0.3,<rdkit.Chem.rdchem.Mol object at 0x1409c1e40>,3,2,0,0,0,1,0,0,0,15,29.46,108.034016158,38,3,1,2
C(CCO)CCBr,1.4,<rdkit.Chem.rdchem.Mol object at 0x1409c1ea0>,5,1,0,0,0,0,0,0,1,18,20.23,165.999327072,44,2,1,1
C([C+]=O)Br,0.5,<rdkit.Chem.rdchem.Mol object at 0x1409c1f00>,2,1,0,0,0,0,0,0,1,6,17.07,120.92835320409,22,2,0,1
CCCN(C)P,1.0,<rdkit.Chem.rdchem.Mol object at 0x1409c1f60>,4,0,1,0,0,1,0,0,0,18,3.24,105.07073601399999,38,2,0,1
C(C(S)(S)S)O,0.5,<rdkit.Chem.rdchem.Mol object at 0x1409c1fc0>,2,1,0,3,0,0,0,0,0,12,20.23,141.958077812,38,4,4,4
CCCSCSC,2.5,<rdkit.Chem.rdchem.Mol object at 0x1409c2020>,5,0,0,2,0,0,0,0,0,19,0.0,136.038042384,44,2,0,2
CCCC(C)CO,1.8,<rdkit.Chem.rdchem.Mol object at 0x1409c2080>,6,1,0,0,0,0,0,0,0,21,20.23,102.104465068,44,1,1,1
C[C@H](CO)NP,-0.6,<rdkit.Chem.rdchem.Mol object at 0x1409c20e0>,3,1,1,0,0,1,0,0,0,16,32.26,107.05000057,38,3,2,2
CSCSC=S,2.0,<rdkit.Chem.rdchem.Mol object at 0x1409c2140>,3,0,0,3,0,0,0,0,0,12,0.0,137.963163192,36,3,0,3
CCCC[C+](C)C,3.7,<rdkit.Chem.rdchem.Mol object at 0x1409c21a0>,7,0,0,0,0,0,0,0,0,22,0.0,99.11682690008999,42,0,0,0
CONCI,0.6,<rdkit.Chem.rdchem.Mol object at 0x1409c2200>,2,1,1,0,0,0,0,1,0,11,21.259999999999998,186.949411812,32,3,1,2
COSS,1.0,<rdkit.Chem.rdchem.Mol object at 0x1409c2260>,1,1,0,2,0,0,0,0,0,8,9.23,95.970356748,26,3,1,3
C[C@@H](CN)NC,-0.7,<rdkit.Chem.rdchem.Mol object at 0x1409c22c0>,4,0,2,0,0,0,0,0,0,18,38.05,88.10004838399999,38,2,2,2
C(CCF)CON,0.4,<rdkit.Chem.rdchem.Mol object at 0x1409c2320>,4,1,1,0,0,0,1,0,0,17,35.25,107.07464216,44,3,1,2
CC(C)OOCO,0.3,<rdkit.Chem.rdchem.Mol object at 0x1409c2380>,4,3,0,0,0,0,0,0,0,17,38.69,106.06299418,44,3,1,3
C(COP)CBr,1.1,<rdkit.Chem.rdchem.Mol object at 0x1409c23e0>,3,1,0,0,0,1,0,0,1,14,9.23,169.949613606,38,3,0,1
C(CS)OCO,-0.2,<rdkit.Chem.rdchem.Mol object at 0x1409c2440>,3,2,0,1,0,0,0,0,0,14,29.46,108.024500496,38,3,2,3
C(O)[I-]S,0.8,<rdkit.Chem.rdchem.Mol object at 0x1409c24a0>,1,1,0,1,0,0,0,1,0,8,20.23,190.90330732791,28,3,2,2
CC(COC)NC,0.1,<rdkit.Chem.rdchem.Mol object at 0x1409c2500>,5,1,1,0,0,0,0,0,0,20,21.259999999999998,103.099714036,44,2,1,2
C[11CH-]I,2.1,<rdkit.Chem.rdchem.Mol object at 0x1409c2560>,2,0,0,0,0,0,0,1,0,7,0.0,153.94775530791,20,1,0,0
C1C[SH+]CCO1,0.5,<rdkit.Chem.rdchem.Mol object at 0x1409c25c0>,4,1,0,1,0,0,0,0,0,15,9.23,105.03686232809,36,2,0,1
CC(CCF)NC,0.9,<rdkit.Chem.rdchem.Mol object at 0x1409c2620>,5,0,1,0,0,0,1,0,0,19,12.03,105.09537760399999,44,2,1,1
